"key","direction","core","title","year","venue","scenario","surface_or_architecture","method_and_output","main_boundary_for_this_route","preprint_or_open_url","doi","local_evidence","evidence_status"
"yang2025aiedge","common","true","AI Edge: 面向智能应用的移动信息服务基础设施","2025","中国科学：信息科学","移动信息服务基础设施","云边端异构算力与网络内生智能","概念框架；定义 AI Edge 能力与层次","不是 DMA/RHS 技术论文；用于固定课题口径","https://doi.org/10.1360/SSI-2025-0344","10.1360/SSI-2025-0344","../sources/text/ai_edge_reference.txt","全文文本已核验"
"zhang2023dmamodellearning","1","false","Channel Estimation with Dynamic Metasurface Antennas via Model-Based Learning","2023","arXiv","DMA 低维信道估计","DMA 可行压缩观测","LISTA/LISTA-SMO；输出信道","未联合太赫兹近场宽带和实际频响失配","https://arxiv.org/abs/2311.08158","","../sources/fulltext/d1_zhang2023_dma_model_learning.pdf","预印本已核验"
"yang2024xldma","1","false","Extremely Large-Scale Dynamic Metasurface Antennas (XL-DMAs): Near-Field Modeling and Channel Estimation","2024","arXiv","XL-DMA 单用户近场","球面波与洛伦兹测量约束","几何解耦和离网估计；输出角度距离","采用窄带假设；没有带内表面频响","https://arxiv.org/abs/2407.04954","","../sources/fulltext/d1_yang2024_xl_dma_nearfield_ce.pdf","预印本已核验"
"gao2024thzunfolding","1","false","Deep Unfolding-Based Channel Estimation for Wideband Terahertz Near-Field Massive MIMO Systems","2024","FITEE","太赫兹宽带近场混合阵列","传统混合相移网络","AMP-SBL 展开；输出宽带信道","不是 DMA；没有波导谐振和可实现训练状态","https://arxiv.org/abs/2308.13381","10.1631/FITEE.2300760","../sources/fulltext/d1_gao2024_thz_unfolding_ce.pdf","预印本已核验"
"deshpande2026frequencyselective","1","true","Frequency-Selective Beamforming and Single-Shot Beam Training With Dynamic Metasurface Antennas","2026","IEEE TCOM","OFDM 单次波束训练","DMA 频率选择性与可调单元","频率和配置联合选择；输出角度/波束","已用同一配置跨子载波做单次波束训练；预印本 Sec. IV-B 式(47)–(48)在反馈后以所选子载波为业务带宽中心；未给出固定业务频段的多径通信 CSI 恢复","https://arxiv.org/abs/2412.00215","10.1109/TCOMM.2026.3698888","../sources/fulltext/d1_deshpande2026_frequency_selective_training.pdf","预印本已核验"
"carlson2026widebanddma","1","true","Wideband Dynamic Metasurface Antenna Performance With Practical Design Characteristics","2026","IEEE TWC","宽带 DMA 波束性能","波导衰减、谐振、有限调谐和频响","近似分析与逐单元配置；输出波束增益","重点不是近场多径恢复或学习型训练","https://arxiv.org/abs/2510.07827","10.1109/TWC.2025.3613342","../sources/fulltext/d1_carlson2026_wideband_practical_dma.pdf","预印本已核验"
"magalhaes2025downlinkce","1","false","Channel Estimation for Downlink Communications Based on Dynamic Metasurface Antennas","2025","Asilomar","DMA 下行 MISO-OFDM","未知波导响应与窄带 DMA 结构","PARAFAC 半盲/数据辅助估计；输出信道和波导响应","未处理近场几何和实际宽带 DMA 频响","https://arxiv.org/abs/2506.12639","10.1109/IEEECONF67917.2025.11443809","../sources/fulltext/d1_magalhaes2026_downlink_ce.pdf","预印本已核验"
"xu2026twotimescale","1","false","Two-Timescale Design for Downlink Multiuser Transmission with Dynamic Metasurface Antennas","2026","arXiv","DMA 多用户下行","统计慢配置和数字快更新","双时间尺度优化；输出表面与数字预编码","没有解决物理频响条件下的状态获取","https://arxiv.org/abs/2606.15183","","../sources/fulltext/d1_xu2026_two_timescale_dma.pdf","预印本已核验"
"miao2026tensorce","1","false","Channel Estimation for Dynamic Metasurface Antennas-Based Millimeter Wave Massive MIMO","2026","IEEE TVT","28 GHz 双端 DMA 窄带远场","波导传播和洛伦兹权重；忽略互耦","张量/Vandermonde 估计和 CRLB；输出路径参数","没有太赫兹近场宽带和互耦失配","https://doi.org/10.1109/TVT.2025.3586849","10.1109/TVT.2025.3586849","../sources/fulltext/d1_miao2026_tensor_ce.pdf","IEEE 正式全文已核验"
"gavras2026widebandsensing","1","false","Wideband Sensing with Dynamic Metasurface Antennas under Realistic Phase Response Modeling","2026","arXiv","20 GHz、500 MHz 上行 OFDM 远场定位与散射点感知","接收 DMA 频率选择性磁极化率、有限谐振调谐、波导相位与泄漏","FIM/EFIM、有效信息带宽和有效孔径分析；输出时延、角度与位置下界","采用二维 ULA 远场传播；没有近场距离曲率、通信信道恢复、学习估计器或失配适配","https://arxiv.org/abs/2604.11580","","../sources/fulltext/d1_gavras2026_wideband_sensing_dma.pdf","预印本全文已核验；2026-09-01 新增直接最近邻"
"yue2024hybridfieldce","1","false","Hybrid Near-Far Field Channel Estimation for Holographic MIMO Communications","2024","IEEE TWC","30 GHz 单用户上行窄带混合近远场","全息线阵与随机二相模拟合并；非 DMA 频响模型","联合角度—极域、PD-OMP 和稀疏恢复 CRLB；输出混合场信道","没有 OFDM、太赫兹 DMA 波导/谐振响应、物理失配和学习估计器","https://arxiv.org/abs/2407.12264","10.1109/TWC.2024.3433491","../sources/fulltext/d1_yue2024_hybrid_field_ce.pdf","预印本及正式元数据已核验；2026-09-01 新增混合场基线"
"gavras2025circuitlocalization","1","false","Circuit-Compliant Optimization of Dynamic Metasurface Antennas for Near-Field Localization","2025","IEEE ICC","28 GHz、150 kHz 单用户上行近场定位","接收 DMA 电路一致互耦、波导传播与洛伦兹状态","一/二阶 DMA 响应近似与 CRB/PEB 最小化；输出位置","窄带静态定位；不恢复多径 CSI；没有带内谐振频散和学习鲁棒性","https://arxiv.org/abs/2411.09362","10.1109/ICC52391.2025.11161718","../sources/fulltext/d1_gavras2025_circuit_compliant_localization.pdf","预印本及正式元数据已核验；2026-09-01 新增互耦边界"
"gavriilidis2025microstriplosses","1","false","How Do Microstrip Losses Impact Near-Field Beam Depth in Dynamic Metasurface Antennas?","2025","EUSIPCO","单用户近场 LoS 下行波束聚焦","DMA 微带传播损耗、洛伦兹权重与功率守恒归一化","解析波束增益和束深边界；输出损耗—束深关系","不做信道估计或 FIM；没有 OFDM、单元谐振频散和多径","https://arxiv.org/abs/2503.12280","10.23919/EUSIPCO63237.2025.11226267","../sources/fulltext/d1_gavriilidis2025_microstrip_losses.pdf","预印本及会议元数据已核验；2026-09-01 新增反证边界"
"gavriilidis2025beamtracking","2","true","Near-Field Beam Tracking With Extremely Large Dynamic Metasurface Antennas","2025","IEEE TWC","XL-DMA 单用户近场移动","DMA 近场波束与动态搜索网格","相干时间分析和阈值触发扫描；输出波束","反应式更新；没有未来阻塞和备份波束","https://arxiv.org/abs/2406.01488","10.1109/TWC.2025.3552547","../sources/fulltext/d2_gavriilidis2025_dma_beam_tracking.pdf","预印本已核验"
"stylianopoulos2023nlos","2","true","Autoregressive Attention Neural Networks for Non-Line-of-Sight User Tracking with Dynamic Metasurface Antennas","2023","CAMSAP","固定射线追踪环境中的 NLoS 用户","DMA 宽带频率响应","自回归注意力；输出当前位置","没有多步链路概率、不确定度和控制动作","https://arxiv.org/abs/2310.19767","10.1109/CAMSAP58249.2023.10403512","../sources/fulltext/d2_stylianopoulos2023_nlos_dma_tracking.pdf","预印本已核验"
